Date,Open,High,Low,Close,Adj Close,Volume
2017-04-27,812.500000,813.000000,804.500000,809.000000,765.003601,5090485
2017-04-28,811.000000,817.500000,806.500000,812.000000,767.840454,4566052
2017-05-02,812.000000,825.164978,807.500000,823.500000,778.715027,3858162
2017-05-03,822.000000,825.000000,811.000000,824.500000,779.660645,6386294
2017-05-04,824.000000,825.000000,807.500000,812.500000,768.313232,14584250
2017-05-05,814.000000,854.000000,806.809998,853.500000,807.083435,10144510
2017-05-08,849.500000,851.500000,832.500000,850.500000,804.246643,6175907
2017-05-09,850.000000,890.500000,850.000000,890.000000,841.598450,9982007
2017-05-10,891.000000,895.000000,871.000000,874.500000,826.941406,13145051
2017-05-11,871.500000,878.500000,867.000000,871.500000,824.104614,5687243
2017-05-12,870.000000,872.000000,858.500000,863.500000,816.539673,6400737
2017-05-15,867.500000,867.500000,838.500000,854.000000,807.556213,7938556
2017-05-16,854.000000,865.500000,848.000000,865.000000,817.958008,8255879
2017-05-17,859.500000,862.500000,841.000000,842.500000,796.681763,7036049
2017-05-18,833.000000,862.000000,826.000000,850.500000,804.246643,8940215
2017-05-19,852.500000,869.500000,838.000000,851.000000,804.719421,8210999
2017-05-22,852.500000,862.500000,846.000000,853.500000,807.083435,3601142
2017-05-23,855.500000,869.000000,855.500000,862.000000,815.121216,5517697
2017-05-24,862.000000,863.500000,849.000000,854.500000,808.029053,4970051
2017-05-25,856.000000,861.500000,843.000000,851.500000,805.192261,4701514
2017-05-26,853.500000,873.500000,852.219971,873.000000,825.522949,6378498
2017-05-30,871.000000,875.900024,863.000000,868.500000,821.267700,5611407
2017-05-31,872.500000,876.710022,862.500000,867.500000,820.322144,18858521
2017-06-01,871.500000,889.500000,870.000000,885.500000,837.343201,8842849
2017-06-02,890.000000,895.500000,880.500000,891.500000,843.016907,4524860
2017-06-05,891.000000,898.000000,881.989990,894.500000,845.853760,4010278
